Crash Number,Date and Time of Crash,Police Shift,Crash Location,Light Conditions,Weather Conditions,Road Surface,Road Contributing Circumstances,Traffic Control Device Type,Roadway Intersection Type,Trafficway Description,Manner of Collision,First Harmful Event,First Harmful Event Location,Speed Limit,Work Zone,Count Fatal Injury ,Count Suspected Serious Injury,Count Suspected Minor Injury ,Count Possible Injury,Count No Apparent Injury,Count Unknown Injury,Count Not Reported Injury,Total Non-Motorists,Pedestrian Involvement (Non-Motorist),Cyclist Involvement (Non-Motorist),Other Non-Motorist Involvement,Non-Motorist Location ,Non-Motorist Action,Non-Motorist Condition,Hit and Run Flag,Latitude,Longitude,Ward,Block Code 
22006150,2022-02-07 18:04:00,First Half (4PM - Midnight),"32 SHORE DR Somerville, MA",DARK - LIGHTED ROADWAY                            ,RAIN                                              ,WET                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.3983,-71.0904,4,250173501051002
18059739,2018-10-07 10:37:00,Day Shift (8AM - 4PM),"SHORE DR & NA Somerville, MA",DAYLIGHT                                          ,CLOUDY                                            ,DRY                                               ,NONE                                              ,STOP SIGNS                                        ,T-INTERSECTION                                    ,"TWO-WAY, NOT DIVIDED                              ",REAR-END                                          ,COLLISION WITH PARKED MOTOR VEHICLE               ,ROADSIDE                                          ,30 ,N,0,0,0,0,5,0,0,0,0,0,0,,,,N,42.3992,-71.0872,4,250173501051004
21022828,2021-05-07 13:58:00,Day Shift (8AM - 4PM),"105 SHORE DR Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",SINGLE VEHICLE CRASH                              ,COLLISION WITH CURB                               ,ROADWAY                                           ,25 ,N,0,1,0,0,1,0,0,0,0,0,0,,,,N,42.3991,-71.0868,4,250173501051004
19055357,2019-09-26 06:51:00,Last Half (Midnight - 8AM),"NA & SHORE DRIVE Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,TRAFFIC CONGESTION RELATED                        ,NO CONTROLS                                       ,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",REAR-END                                          ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,35 ,N,0,0,0,1,4,0,0,0,0,0,0,,,,N,42.3992,-71.0872,4,250173501051004
18025234,2018-04-29 15:48:00,Day Shift (8AM - 4PM),"FELLSWAY & MIDDLESEX AV Somerville, MA",DAYLIGHT                                          ,CLOUDY                                            ,WET                                               ,UNKNOWN                                           ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",REAR-END                                          ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,30 ,N,0,0,0,0,7,1,0,0,0,0,0,,,,N,42.3964,-71.085,4,250173501051006
22014366,2022-03-18 16:29:00,First Half (4PM - Midnight),"MCGRATH HWY & MYSTIC AV Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,TRAFFIC CONTROL SIGNAL                            ,FOUR WAY INTERSECTION                             ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,30 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.3941,-71.0858,4,250173501051008
18075042,2018-12-21 17:41:00,First Half (4PM - Midnight),"MCGRATH HWY & MYSTIC AV Somerville, MA",DARK - LIGHTED ROADWAY                            ,RAIN                                              ,WET                                               ,NONE                                              ,TRAFFIC CONTROL SIGNAL                            ,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",REAR-END                                          ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,30 ,N,0,0,0,0,4,0,0,0,0,0,0,,,,N,42.3941,-71.0858,4,250173501051008
23050446,2023-09-03 16:59:00,First Half (4PM - Midnight),"FELLSWAY & NA Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,UNKNOWN                                           ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,9,0,0,0,0,0,0,,,,N,42.3988,-71.0839,4,250173501051008
21039397,2021-07-30 18:00:00,First Half (4PM - Midnight),"RTE 93 ACCESS ROAD @ RTE 28 & MYSTIC AVE. Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,Y-INTERSECTION                                    ,"ONE-WAY, NOT DIVIDED                              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,35 ,N,0,0,0,0,4,0,0,0,0,0,0,,,,Y,42.3941,-71.0858,4,250173501051008
19010530,2019-02-25 20:16:00,First Half (4PM - Midnight),"50 PURITAN RD Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH PARKED MOTOR VEHICLE               ,ROADSIDE                                          ,25 ,N,0,0,0,0,6,0,0,0,0,0,0,,,,N,42.3967,-71.0873,4,250173501051010
24020977,2024-04-14 20:30:00,First Half (4PM - Midnight),"52 PURITAN RD Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLOUDY                                            ,WET                                               ,NONE                                              ,STOP SIGNS                                        ,FOUR WAY INTERSECTION                             ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,20 ,N,0,0,1,1,2,0,0,0,0,0,0,,,,N,42.3967,-71.0873,4,250173501051010
19005617,2019-01-31 09:37:00,Day Shift (8AM - 4PM),"GOV WINTHROP RD & TEMPLE RD Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,SLUSH                                             ,NONE                                              ,STOP SIGNS                                        ,FOUR WAY INTERSECTION                             ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,1,1,0,0,0,0,0,0,,,,N,42.3965,-71.0878,4,250173501051016
22039369,2022-07-15 03:39:00,Last Half (Midnight - 8AM),"85 BAILEY RD Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,STOP SIGNS                                        ,T-INTERSECTION                                    ,"TWO-WAY, NOT DIVIDED                              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PARKED MOTOR VEHICLE               ,ROADWAY                                           ,20 ,N,0,0,0,1,2,0,0,0,0,0,0,,,,N,42.3964,-71.0886,4,250173501051017
20024802,2020-05-14 17:15:00,First Half (4PM - Midnight),"109 BAILEY RD Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",SINGLE VEHICLE CRASH                              ,COLLISION WITH PARKED MOTOR VEHICLE               ,ROADWAY                                           ,25 ,N,0,0,0,0,1,0,0,0,0,0,0,,,,N,42.3969,-71.0893,4,250173501051017
23000697,2023-01-05 08:45:00,Day Shift (8AM - 4PM),"GOV WINTHROP RD & TEN HILLS RD Somerville, MA",DAYLIGHT                                          ,CLOUDY                                            ,DRY                                               ,NONE                                              ,STOP SIGNS                                        ,T-INTERSECTION                                    ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.395,-71.0859,4,250173501051019
23050673,2023-09-04 18:32:00,First Half (4PM - Midnight),"GOV WINTHROP RD & TEN HILLS RD Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,T-INTERSECTION                                    ,"TWO-WAY, NOT DIVIDED                              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PARKED MOTOR VEHICLE               ,ROADWAY                                           ,25 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.395,-71.0859,4,250173501051019
18061372,2018-10-15 08:30:00,Day Shift (8AM - 4PM),"363 REVOLUTION DR Somerville, MA",DAYLIGHT                                          ,CLOUDY                                            ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3911,-71.078,1,250173501061001
22031695,2022-06-06 17:02:00,First Half (4PM - Midnight),"355 REVOLUTION DR Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.3911,-71.078,1,250173501061001
21061655,2021-11-26 17:18:00,First Half (4PM - Midnight),"325 REVOLUTION DR Somerville, MA",DARK - LIGHTED ROADWAY                            ,RAIN                                              ,WET                                               ,NONE                                              ,TRAFFIC CONTROL SIGNAL                            ,Y-INTERSECTION                                    ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3911,-71.078,1,250173501061001
19014338,2019-03-15 13:32:00,Day Shift (8AM - 4PM),"445 REVOLUTION DR Somerville, MA",DAYLIGHT                                          ,CLOUDY                                            ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADSIDE                                          ,25 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3911,-71.078,1,250173501061001
23020424,2023-04-16 00:38:00,Last Half (Midnight - 8AM),"251 GRAND UNION BLVD Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",HEAD ON                                           ,COLLISION WITH CURB                               ,ROADWAY                                           ,25 ,N,0,0,1,0,0,0,0,0,0,0,0,,,,N,42.3902,-71.0785,1,250173501061001
23055523,2023-09-27 17:32:00,First Half (4PM - Midnight),"375 REVOLUTION DR Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADSIDE                                          ,20 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3911,-71.078,1,250173501061001
19022096,2019-04-22 19:10:00,First Half (4PM - Midnight),"ARTISAN WY & ASSEMBLY ROW Somerville, MA",DARK - LIGHTED ROADWAY                            ,RAIN                                              ,WET                                               ,UNKNOWN                                           ,NO CONTROLS                                       ,FOUR WAY INTERSECTION                             ,"TWO-WAY, NOT DIVIDED                              ",SINGLE VEHICLE CRASH                              ,COLLISION WITH PEDESTRIAN                         ,ROADWAY                                           ,15 ,N,0,1,0,0,1,0,0,1,1,0,0,MARKED CROSSWALK AT INTERSECTION                  ,"WALKING, RUNNING OR CYCLING                       ",APPARENTLY NORMAL                                 ,N,42.3951,-71.0794,1,250173501061003
20012534,2020-03-04 13:47:00,Day Shift (8AM - 4PM),"75 MYSTIC AV Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,UNKNOWN                                           ,ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,OUTSIDE ROADWAY                                   ,5  ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.3902,-71.0797,1,250173501061004
23004687,2023-01-27 09:53:00,Day Shift (8AM - 4PM),"75 MYSTIC AV Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,DRIVEWAY                                          ,"TWO-WAY, NOT DIVIDED                              ",SINGLE VEHICLE CRASH                              ,OTHER                                             ,OUTSIDE ROADWAY                                   ,25 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3902,-71.0797,1,250173501061004
21026033,2021-05-24 14:32:00,Day Shift (8AM - 4PM),"75 MYSTIC AV Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,UNKNOWN                                           ,"SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PARKED MOTOR VEHICLE               ,ROADWAY                                           ,25 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3902,-71.0797,1,250173501061004
20030814,2020-06-19 11:41:00,Day Shift (8AM - 4PM),"75 MYSTIC AV Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",REAR TO REAR                                      ,COLLISION WITH PARKED MOTOR VEHICLE               ,ROADWAY                                           ,5  ,N,0,0,0,0,3,1,0,0,0,0,0,,,,N,42.3902,-71.0797,1,250173501061004
19030592,2019-06-01 16:00:00,First Half (4PM - Midnight),"75 MYSTIC AV Somerville, MA",DAYLIGHT                                          ,CLOUDY                                            ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,15 ,N,0,0,0,1,2,0,0,0,0,0,0,,,,N,42.3902,-71.0797,1,250173501061004
1800000052,2018-07-04 11:08:00,Day Shift (8AM - 4PM),"5 REVOLUTION DRIVE Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,FOUR WAY INTERSECTION                             ,,ANGLE                                             ,,ROADWAY                                           ,,N,0,0,1,0,2,4,0,0,0,0,0,,,,N,42.3915,-71.0798,1,250173501061005
19072453,2019-12-23 13:09:00,Day Shift (8AM - 4PM),"REVOLUTION DR & NA Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,STOP SIGNS                                        ,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,Y,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.3915,-71.0798,1,250173501061005
19029356,2019-05-27 10:10:00,Day Shift (8AM - 4PM),"REVLOUTION DR & HOME DEPOT LOT Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,FOUR WAY INTERSECTION                             ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.3915,-71.0798,1,250173501061005
23050942,2023-09-06 00:47:00,Last Half (Midnight - 8AM),"485 FOLEY ST Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,UNKNOWN                                           ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ",SINGLE VEHICLE CRASH                              ,COLLISION WITH CURB                               ,ROADSIDE                                          ,25 ,N,0,0,1,0,0,0,0,0,0,0,0,,,,N,42.3933,-71.0779,1,250173501061005
22002706,2022-01-18 14:11:00,Day Shift (8AM - 4PM),"400 REVOLUTION DR Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,OTHER                                             ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",SINGLE VEHICLE CRASH                              ,COLLISION WITH LIGHT POLE OR OTHER POST/SUPPORT   ,OUTSIDE ROADWAY                                   ,20 ,N,0,0,1,0,2,0,0,0,0,0,0,,,,N,42.3922,-71.0784,1,250173501061005
21040653,2021-08-06 06:59:00,Last Half (Midnight - 8AM),"485 FOLEY ST Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PARKED MOTOR VEHICLE               ,ROADWAY                                           ,20 ,N,0,0,0,0,0,3,0,0,0,0,0,,,,N,42.3933,-71.0779,1,250173501061005
22071917,2022-12-22 14:09:00,Day Shift (8AM - 4PM),"123 FOLEY ST Somerville, MA",DAYLIGHT                                          ,CLOUDY                                            ,DRY                                               ,NONE                                              ,TRAFFIC CONTROL SIGNAL                            ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",HEAD ON                                           ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,1,3,1,0,0,0,0,0,,,,N,42.3932,-71.0788,1,250173501061005
18061618,2018-10-16 13:47:00,Day Shift (8AM - 4PM),"REVOLUTION DR & NA Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,DRIVEWAY                                          ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3915,-71.0798,1,250173501061005
18032687,2018-06-01 11:30:00,Day Shift (8AM - 4PM),"5 REVOLUTION DR Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,FOUR WAY INTERSECTION                             ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,10 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,Y,42.3915,-71.0798,1,250173501061005
19016076,2019-03-23 19:37:00,First Half (4PM - Midnight),"GRAND UNION BLVD & REVOLUTION DRIVE Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,TRAFFIC CONTROL SIGNAL                            ,FOUR WAY INTERSECTION                             ,"TWO-WAY, NOT DIVIDED                              ",REAR-END                                          ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,30 ,N,0,0,0,0,3,2,0,0,0,0,0,,,,N,42.3915,-71.0798,1,250173501061005
23034660,2023-06-21 13:00:00,Day Shift (8AM - 4PM),"345 ASSEMBLY ROW Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",SINGLE VEHICLE CRASH                              ,COLLISION WITH PEDALCYCLE                         ,ROADWAY                                           ,25 ,N,0,0,0,0,2,0,0,1,0,1,0,IN ROADWAY                                        ,"WALKING, RUNNING OR CYCLING                       ",EMOTIONAL                                         ,N,42.3929,-71.0785,1,250173501061005
18031576,2018-05-28 12:29:00,Day Shift (8AM - 4PM),"00 GREAT RIVER RD Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",SINGLE VEHICLE CRASH                              ,COLLISION WITH PARKED MOTOR VEHICLE               ,ROADWAY                                           ,20 ,N,0,0,0,0,1,1,0,0,0,0,0,,,,N,42.3938,-71.0775,1,250173501061006
